"";"Residency";"Gender";"Age";"Year";"Number of residence"
"1";"Agder";"Kvinne";"0-49";"X2012";92608
"2";"Agder";"Kvinne";"0-49";"X2013";93350
"3";"Agder";"Kvinne";"0-49";"X2014";93968
"4";"Agder";"Kvinne";"0-49";"X2015";94626
"5";"Agder";"Kvinne";"0-49";"X2016";94930
"6";"Agder";"Kvinne";"0-49";"X2017";94905
"7";"Agder";"Kvinne";"0-49";"X2018";95459
"8";"Agder";"Kvinne";"0-49";"X2019";95414
"9";"Agder";"Kvinne";"50-69";"X2012";33087
"10";"Agder";"Kvinne";"50-69";"X2013";33582
"11";"Agder";"Kvinne";"50-69";"X2014";34097
"12";"Agder";"Kvinne";"50-69";"X2015";34576
"13";"Agder";"Kvinne";"50-69";"X2016";35132
"14";"Agder";"Kvinne";"50-69";"X2017";35359
"15";"Agder";"Kvinne";"50-69";"X2018";35596
"16";"Agder";"Kvinne";"50-69";"X2019";36023
"17";"Agder";"Kvinne";"70-89";"X2012";15424
"18";"Agder";"Kvinne";"70-89";"X2013";15569
"19";"Agder";"Kvinne";"70-89";"X2014";15826
"20";"Agder";"Kvinne";"70-89";"X2015";16334
"21";"Agder";"Kvinne";"70-89";"X2016";16677
"22";"Agder";"Kvinne";"70-89";"X2017";17377
"23";"Agder";"Kvinne";"70-89";"X2018";18055
"24";"Agder";"Kvinne";"70-89";"X2019";18595
"25";"Agder";"Kvinne";"90+";"X2012";1708
"26";"Agder";"Kvinne";"90+";"X2013";1717
"27";"Agder";"Kvinne";"90+";"X2014";1738
"28";"Agder";"Kvinne";"90+";"X2015";1747
"29";"Agder";"Kvinne";"90+";"X2016";1759
"30";"Agder";"Kvinne";"90+";"X2017";1796
"31";"Agder";"Kvinne";"90+";"X2018";1794
"32";"Agder";"Kvinne";"90+";"X2019";1773
"33";"Agder";"Mann";"0-49";"X2012";97186
"34";"Agder";"Mann";"0-49";"X2013";98194
"35";"Agder";"Mann";"0-49";"X2014";98870
"36";"Agder";"Mann";"0-49";"X2015";99436
"37";"Agder";"Mann";"0-49";"X2016";99879
"38";"Agder";"Mann";"0-49";"X2017";100168
"39";"Agder";"Mann";"0-49";"X2018";100541
"40";"Agder";"Mann";"0-49";"X2019";100121
"41";"Agder";"Mann";"50-69";"X2012";33468
"42";"Agder";"Mann";"50-69";"X2013";34098
"43";"Agder";"Mann";"50-69";"X2014";34729
"44";"Agder";"Mann";"50-69";"X2015";35303
"45";"Agder";"Mann";"50-69";"X2016";35839
"46";"Agder";"Mann";"50-69";"X2017";36146
"47";"Agder";"Mann";"50-69";"X2018";36533
"48";"Agder";"Mann";"50-69";"X2019";36767
"49";"Agder";"Mann";"70-89";"X2012";11737
"50";"Agder";"Mann";"70-89";"X2013";12009
"51";"Agder";"Mann";"70-89";"X2014";12377
"52";"Agder";"Mann";"70-89";"X2015";13010
"53";"Agder";"Mann";"70-89";"X2016";13612
"54";"Agder";"Mann";"70-89";"X2017";14366
"55";"Agder";"Mann";"70-89";"X2018";15098
"56";"Agder";"Mann";"70-89";"X2019";15865
"57";"Agder";"Mann";"90+";"X2012";601
"58";"Agder";"Mann";"90+";"X2013";606
"59";"Agder";"Mann";"90+";"X2014";620
"60";"Agder";"Mann";"90+";"X2015";612
"61";"Agder";"Mann";"90+";"X2016";658
"62";"Agder";"Mann";"90+";"X2017";672
"63";"Agder";"Mann";"90+";"X2018";678
"64";"Agder";"Mann";"90+";"X2019";686
"65";"Innlandet";"Kvinne";"0-49";"X2012";106820
"66";"Innlandet";"Kvinne";"0-49";"X2013";106476
"67";"Innlandet";"Kvinne";"0-49";"X2014";106188
"68";"Innlandet";"Kvinne";"0-49";"X2015";105767
"69";"Innlandet";"Kvinne";"0-49";"X2016";105051
"70";"Innlandet";"Kvinne";"0-49";"X2017";104835
"71";"Innlandet";"Kvinne";"0-49";"X2018";104231
"72";"Innlandet";"Kvinne";"0-49";"X2019";103322
"73";"Innlandet";"Kvinne";"50-69";"X2012";48445
"74";"Innlandet";"Kvinne";"50-69";"X2013";48936
"75";"Innlandet";"Kvinne";"50-69";"X2014";49253
"76";"Innlandet";"Kvinne";"50-69";"X2015";49679
"77";"Innlandet";"Kvinne";"50-69";"X2016";49743
"78";"Innlandet";"Kvinne";"50-69";"X2017";49675
"79";"Innlandet";"Kvinne";"50-69";"X2018";49849
"80";"Innlandet";"Kvinne";"50-69";"X2019";49953
"81";"Innlandet";"Kvinne";"70-89";"X2012";25451
"82";"Innlandet";"Kvinne";"70-89";"X2013";25483
"83";"Innlandet";"Kvinne";"70-89";"X2014";25690
"84";"Innlandet";"Kvinne";"70-89";"X2015";26074
"85";"Innlandet";"Kvinne";"70-89";"X2016";26781
"86";"Innlandet";"Kvinne";"70-89";"X2017";27524
"87";"Innlandet";"Kvinne";"70-89";"X2018";28251
"88";"Innlandet";"Kvinne";"70-89";"X2019";28986
"89";"Innlandet";"Kvinne";"90+";"X2012";2537
"90";"Innlandet";"Kvinne";"90+";"X2013";2582
"91";"Innlandet";"Kvinne";"90+";"X2014";2651
"92";"Innlandet";"Kvinne";"90+";"X2015";2730
