"";"Illness";"Gender";"Age";"Diagnosis";"Residency";"Year";"occurences"
"1";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2012";50
"2";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2013";67
"3";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2014";76
"4";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2015";67
"5";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2016";82
"6";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2017";73
"7";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2018";79
"8";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2019";65
"9";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2012";102
"10";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2013";103
"11";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2014";100
"12";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2015";107
"13";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2016";116
"14";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2017";109
"15";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2018";124
"16";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2019";128
"17";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2012";30
"18";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2013";41
"19";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2014";41
"20";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2015";34
"21";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2016";31
"22";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2017";35
"23";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2018";40
"24";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2019";27
