"";"Illness";"Gender";"Age";"Diagnosis";"Residency";"Year";"occurences";"Number of residence"
"1";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2012";50;NA
"2";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2013";67;NA
"3";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2014";76;NA
"4";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2015";67;NA
"5";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2016";82;NA
"6";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2017";73;NA
"7";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2018";79;NA
"8";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Oslo";"X2019";65;NA
"9";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2012";102;NA
"10";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2013";103;NA
"11";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2014";100;NA
"12";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2015";107;NA
"13";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2016";116;NA
"14";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2017";109;NA
"15";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2018";124;NA
"16";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Viken";"X2019";128;NA
"17";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2012";30;NA
"18";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2013";41;NA
"19";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2014";41;NA
"20";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2015";34;NA
"21";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2016";31;NA
"22";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2017";35;NA
"23";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2018";40;NA
"24";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Innlandet";"X2019";27;NA
"25";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2012";36;NA
"26";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2013";45;NA
"27";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2014";38;NA
"28";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2015";27;NA
"29";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2016";33;NA
"30";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2017";31;NA
"31";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2018";37;NA
"32";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestfold og Telemark";"X2019";39;NA
"33";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2012";38;NA
"34";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2013";36;NA
"35";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2014";32;NA
"36";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2015";23;NA
"37";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2016";29;NA
"38";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2017";21;NA
"39";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2018";21;NA
"40";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Agder";"X2019";34;NA
"41";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2012";48;NA
"42";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2013";42;NA
"43";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2014";38;NA
"44";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2015";50;NA
"45";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2016";47;NA
"46";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2017";45;NA
"47";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2018";40;NA
"48";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Rogaland";"X2019";45;NA
"49";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2012";77;NA
"50";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2013";53;NA
"51";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2014";54;NA
"52";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2015";69;NA
"53";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2016";79;NA
"54";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2017";91;NA
"55";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2018";85;NA
"56";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Vestland";"X2019";72;NA
"57";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2012";27;NA
"58";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2013";23;NA
"59";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2014";15;NA
"60";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2015";26;NA
"61";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2016";23;NA
"62";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2017";22;NA
"63";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2018";23;NA
"64";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"More og Romsdal";"X2019";14;NA
"65";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2012";53;NA
"66";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2013";53;NA
"67";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2014";44;NA
"68";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2015";43;NA
"69";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2016";39;NA
"70";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2017";43;NA
"71";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2018";45;NA
"72";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Trondelag";"X2019";47;NA
"73";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2012";30;NA
"74";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2013";32;NA
"75";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2014";25;NA
"76";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2015";25;NA
"77";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2016";30;NA
"78";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2017";27;NA
"79";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2018";23;NA
"80";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Nordland";"X2019";23;NA
"81";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2012";27;NA
"82";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2013";28;NA
"83";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2014";28;NA
"84";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2015";26;NA
"85";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2016";26;NA
"86";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2017";30;NA
"87";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2018";31;NA
"88";"Akutt hjerneslag";"Mann";"0-49 ";"Hoveddiagnose";"Troms og Finnmark";"X2019";24;NA
"89";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2012";12;NA
"90";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2013";20;NA
"91";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2014";9;NA
"92";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2015";21;NA
"93";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2016";13;NA
"94";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2017";21;NA
"95";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2018";8;NA
"96";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Oslo";"X2019";20;NA
"97";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2012";28;NA
"98";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2013";30;NA
"99";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2014";21;NA
"100";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2015";40;NA
"101";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2016";19;NA
"102";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2017";21;NA
"103";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2018";20;NA
"104";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Viken";"X2019";28;NA
"105";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2012";10;NA
"106";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2013";10;NA
"107";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2014";9;NA
"108";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2015";10;NA
"109";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2016";6;NA
"110";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2017";7;NA
"111";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2018";9;NA
"112";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Innlandet";"X2019";6;NA
"113";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2012";9;NA
"114";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2013";10;NA
"115";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2014";16;NA
"116";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2015";9;NA
"117";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2016";8;NA
"118";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2017";8;NA
"119";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2018";5;NA
"120";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestfold og Telemark";"X2019";5;NA
"121";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2012";9;NA
"122";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2013";3;NA
"123";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2014";7;NA
"124";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2015";4;NA
"125";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2016";7;NA
"126";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2017";5;NA
"127";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2018";9;NA
"128";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Agder";"X2019";2;NA
"129";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2012";13;NA
"130";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2013";7;NA
"131";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2014";18;NA
"132";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2015";13;NA
"133";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2016";10;NA
"134";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2017";5;NA
"135";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2018";7;NA
"136";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Rogaland";"X2019";8;NA
"137";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2012";19;NA
"138";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2013";14;NA
"139";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2014";13;NA
"140";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2015";14;NA
"141";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2016";16;NA
"142";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2017";12;NA
"143";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2018";18;NA
"144";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Vestland";"X2019";29;NA
"145";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2012";2;NA
"146";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2013";4;NA
"147";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2014";5;NA
"148";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2015";4;NA
"149";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2016";2;NA
"150";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2017";6;NA
"151";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2018";5;NA
"152";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"More og Romsdal";"X2019";5;NA
"153";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2012";9;NA
"154";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2013";10;NA
"155";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2014";8;NA
"156";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2015";9;NA
"157";"Akutt hjerneslag";"Mann";"0-49 ";"Kun bidiagnose";"Trondelag";"X2016";9;NA
